expNum,age,gender,ingroupNorm,bothShown,ingroupFirst,response,rating,understandingCheckResponse,understandingCheckOrder,responseTime,understandingCheckTime,elapsedTime,utcTime,RepublicanRating,DemocraticRating,topIssue,topIssueRating,identityIngroupResponse,identityOutgroupResponse,ingroupAgree,outgroupDisagree
Exp 1,54,female,0,0,0,2,2,1,1234,52.164,21.613,197.513,"Sun, 25 Mar 2018 23:26:22 GMT",NA,NA,1,10,1,7,0,0
Exp 1,60,female,0,0,0,1,-2,3,4213,24.471,45.972,189.235,"Sun, 25 Mar 2018 23:46:35 GMT",NA,NA,5,0,7,2,1,1
Exp 1,35,female,0,0,0,1,3,1,2134,23.704,18.203,121.721,"Sun, 25 Mar 2018 23:38:16 GMT",NA,NA,3,0,7,1,1,1
Exp 1,34,male,0,0,0,4,1,1,3412,98.449,19.746,667.565,"Sun, 25 Mar 2018 23:41:05 GMT",NA,NA,0,3,7,1,1,1
Exp 1,34,female,0,0,0,4,0,1,2341,22.298,28.501,147.661,"Sun, 25 Mar 2018 23:51:01 GMT",NA,NA,1,5,4,4,0,0
Exp 1,36,male,0,0,0,1,3,1,3214,24.928,21.571,125.244,"Mon, 26 Mar 2018 00:05:28 GMT",NA,NA,0,0,6,1,1,1
Exp 1,39,male,0,1,0,4,0,1,2314,56.924,29.662,268.188,"Sun, 25 Mar 2018 23:26:47 GMT",NA,NA,0,3,6,2,1,1
Exp 1,27,male,1,0,0,1,2,3,4321,11.81,3.468,57.062,"Mon, 26 Mar 2018 00:19:19 GMT",NA,NA,2,1,5,2,1,1
Exp 1,20,female,1,1,0,3,-1,1,2314,33.527,40.363,148.653,"Mon, 26 Mar 2018 00:14:04 GMT",NA,NA,3,10,7,1,1,1
Exp 1,52,female,0,0,0,6,0,1,3214,28.187,26.39,160.494,"Mon, 26 Mar 2018 00:25:44 GMT",NA,NA,8,10,5,1,1,1
Exp 1,18,male,1,0,0,1,3,1,1243,16.173,21.951,99.364,"Mon, 26 Mar 2018 00:26:47 GMT",NA,NA,3,6,2,5,0,0
Exp 1,37,female,0,0,0,4,1,3,2134,46.214,67.056,210.32,"Sun, 25 Mar 2018 23:33:42 GMT",NA,NA,3,10,6,2,1,1
Exp 1,45,female,1,1,0,1,1,1,1432,26.303,19.236,115.862,"Sun, 25 Mar 2018 23:39:05 GMT",NA,NA,0,0,7,1,1,1
Exp 1,44,female,0,0,0,1,2,1,4231,16.831,13.022,95.005,"Mon, 26 Mar 2018 01:11:44 GMT",NA,NA,2,0,7,1,1,1
Exp 1,35,male,0,1,0,5,2,1,2134,53.689,17.244,152.818,"Mon, 26 Mar 2018 00:08:45 GMT",NA,NA,0,7,5,6,1,0
Exp 1,38,female,1,1,0,6,0,1,3124,34.024,26.077,235.905,"Sun, 25 Mar 2018 23:28:21 GMT",NA,NA,5,10,7,1,1,1
Exp 1,41,female,0,1,1,4,0,1,4213,31.652,10.56,143.702,"Sun, 25 Mar 2018 23:25:08 GMT",NA,NA,1,10,7,1,1,1
Exp 1,48,male,1,1,1,4,-3,1,3124,92.96,17.133,209.57,"Sun, 25 Mar 2018 23:57:11 GMT",NA,NA,0,0,7,1,1,1
Exp 1,62,female,1,1,1,2,-3,1,2143,29.28,15.648,136.112,"Mon, 26 Mar 2018 00:26:35 GMT",NA,NA,0,10,6,1,1,1
Exp 1,32,male,1,0,0,4,0,1,3124,20.283,23.966,114.265,"Mon, 26 Mar 2018 01:47:23 GMT",NA,NA,5,5,2,6,0,0
Exp 1,26,male,0,0,0,1,2,1,3241,8.769,15.281,90.121,"Sun, 25 Mar 2018 23:35:01 GMT",NA,NA,0,6,3,5,0,0
Exp 1,55,female,1,0,0,4,1,1,1324,23.152,25.882,162.152,"Mon, 26 Mar 2018 01:47:45 GMT",NA,NA,0,1,6,1,1,1
Exp 1,80,female,0,1,1,1,-1,1,1243,26.694,17.152,155.488,"Mon, 26 Mar 2018 00:10:27 GMT",NA,NA,0,10,7,1,1,1
Exp 1,31,female,1,1,1,2,1,1,2134,17.733,8.727,98.523,"Mon, 26 Mar 2018 00:13:12 GMT",NA,NA,5,2,6,2,1,1
Exp 1,38,male,1,0,0,3,0,1,3214,38.688,28.58,167.748,"Mon, 26 Mar 2018 00:22:44 GMT",NA,NA,7,10,4,4,0,0
Exp 1,32,male,1,0,0,5,1,1,3412,15.297,14.94,63.025,"Sun, 25 Mar 2018 23:33:10 GMT",NA,NA,5,8,6,2,1,1
Exp 1,51,male,0,0,0,5,0,1,2431,41.566,17.13,153.426,"Sun, 25 Mar 2018 23:32:22 GMT",NA,NA,2,10,7,1,1,1
Exp 1,29,male,0,1,1,5,0,1,3214,87.586,61.021,342.736,"Mon, 26 Mar 2018 00:31:35 GMT",NA,NA,3,8,7,1,1,1
Exp 1,22,male,1,1,0,1,-3,1,4312,21.442,23.999,98.914,"Sun, 25 Mar 2018 23:24:38 GMT",NA,NA,0,0,5,1,1,1
Exp 1,28,female,1,0,0,2,-1,1,4132,27.367,13.337,106.265,"Sun, 25 Mar 2018 23:56:58 GMT",NA,NA,0,9,4,4,0,0
Exp 1,44,female,0,1,1,4,2,2,2341,38.567,124.522,342.683,"Sun, 25 Mar 2018 23:56:33 GMT",NA,NA,2,10,7,1,1,1
Exp 1,31,male,1,0,0,5,0,1,3412,35.821,11.893,129.1,"Sun, 25 Mar 2018 23:43:09 GMT",NA,NA,0,10,7,2,1,1
Exp 1,68,male,0,1,0,3,1,1,2431,28.882,25.875,163.405,"Sun, 25 Mar 2018 23:28:37 GMT",NA,NA,2,1,6,1,1,1
Exp 1,63,male,0,1,1,1,3,1,4132,28.413,26.912,147.138,"Mon, 26 Mar 2018 00:22:57 GMT",NA,NA,5,5,4,2,0,1
Exp 1,24,female,1,0,0,5,1,1,3412,24.557,19.305,136.422,"Sun, 25 Mar 2018 23:56:40 GMT",NA,NA,7,10,5,1,1,1
